year,country,iso3,crude_birth_rate,crude_death_rate,govt_health_capex_musd,hiv_deaths,hiv_prevalence,immunization_dpt,immunization_measles,infant_mortality,life_expectancy,life_expectancy_female,life_expectancy_male,malaria_cases,maternal_mortality,nurses_midwives_per_1000,pharma_workers_per_1000,physicians_per_1000,tb_prevalence,under5_mortality,undernourished_pct,underweight_children_pct,wb_population,wb_gdp_per_capita,wb_sanitation_pct,wb_agriculture_pct_gdp,log_capex_per_capita,log_gdp_per_capita,sanitation_pct,agriculture_pct_gdp
2005,Indonesia,IDN,20.1,7.3,597.6,8800.0,0.2,84.6,72.5,28.9,69.1,71.1,67.1,100.0,268.0,0.8163333333333332,0.03766666666666667,0.13766666666666666,260.0,45.0,18.8,24.4,230871650.0,1238.21447629488,51.4837806650068,13.1266186400506,1.277720689416153,7.122232971002534,51.4837806650068,13.1266186400506
2006,Indonesia,IDN,17.7,7.2,165.4,,0.24000000000000002,87.1,78.2,30.8,70.25,72.2,68.3,,,0.816,0.0395,0.13949999999999999,263.5,,18.8,,233951652.0,1558.31562847163,53.5018961119134,12.9738027192484,0.5347278834518284,7.352002304289044,53.5018961119134,12.9738027192484
2007,Indonesia,IDN,18.7,6.3,99.8,,0.28,86.4,75.9,,70.4,72.4,68.4,,,0.8156666666666667,0.04133333333333333,0.14133333333333334,267.0,,18.5,19.6,237062337.0,1823.21976255073,55.5300293728108,13.7166831034562,0.3513512194798722,7.508907647231247,55.5300293728108,13.7166831034562
2008,Indonesia,IDN,18.6,6.3,411.23333333333335,,0.32,86.1,75.5,,70.6,72.6,68.6,,,0.8153333333333332,0.043166666666666666,0.14316666666666666,270.5,,17.7,,240157903.0,2124.55483920618,57.5678736084239,14.4817402607761,0.9978138029963375,7.661788148080543,57.5678736084239,14.4817402607761
2009,Indonesia,IDN,18.2,6.3,722.6666666666666,,0.36,89.1,77.2,,70.69999999999999,72.6,68.8,,,0.815,0.045,0.145,274.0,,15.9,,243220028.0,2218.48541852977,59.6133891473514,15.290148146172,1.3790800353524337,7.705030654543012,59.6133891473514,15.290148146172
2010,Indonesia,IDN,18.2,7.0,1034.1,23000.0,0.4,89.8,77.7,34.0,70.95,72.9,69.0,196.0,169.0,1.062,0.075,0.14,277.5,42.0,13.5,18.6,246305322.0,3065.68348377765,61.6611213279716,13.929212707137,1.6483600519122406,8.028351958194524,61.6611213279716,13.929212707137
2011,Indonesia,IDN,19.299999999999997,,1140.2,,0.4,89.1,76.9,34.0,69.4,71.1,67.7,,,1.2135,0.089,0.1705,281.0,32.0,11.1,,249470032.0,3579.46442466152,63.6913657210041,13.5122870743946,1.7174828151405384,8.183247798539938,63.6913657210041,13.5122870743946
2012,Indonesia,IDN,20.4,6.3,1310.4,,0.4,90.0,78.0,27.2,69.4,71.1,67.7,,,1.365,0.103,0.201,297.0,40.0,9.3,,252698525.0,3632.27254030331,65.7302519834107,13.3739742350727,1.822228186847047,8.197889047382532,65.7302519834107,13.3739742350727
2005,Lao PDR,LAO,34.7,9.8,,,0.2,,69.0,70.0,61.0,63.0,59.0,,405.0,0.996,,0.281,,97.6,29.5,,5869523.0,466.061506997741,43.0065419549901,28.2951353434837,,6.146460955629618,43.0065419549901,28.2951353434837
2006,Lao PDR,LAO,33.7,9.4,,,0.22,,48.0,67.2,65.15,66.4,63.9,,,0.9632499999999999,,0.26,4269.0,93.0,26.9,31.6,5963200.0,579.391947440719,45.6181272062028,26.7296699146578,,6.36370364675927,45.6181272062028,26.7296699146578
2007,Lao PDR,LAO,32.6,9.1,,,0.24,50.0,40.0,64.4,65.7,67.0,64.4,,,0.9305,,0.23900000000000002,3523.2,88.6,25.6,,6056236.0,697.323013673925,48.2158994762992,25.788148677301,,6.548681766023701,48.2158994762992,25.788148677301
2008,Lao PDR,LAO,31.6,8.7,,,0.26,50.0,40.0,61.8,66.2,67.5,64.9,,,0.89775,,0.21800000000000003,2777.4,84.4,24.7,,6148969.0,885.747376088762,50.8009551119223,24.1764814314586,,6.787560134629068,50.8009551119223,24.1764814314586
2009,Lao PDR,LAO,30.7,8.4,,,0.28,57.0,59.0,59.2,66.7,68.0,65.4,,,0.865,,0.197,2031.6000000000001,80.4,24.2,,6241642.0,935.03237283283,53.3715578045122,24.2053770855586,,6.841650062239359,53.3715578045122,24.2053770855586
2010,Lao PDR,LAO,22.8,6.3,23.1,,0.3,74.0,78.0,56.6,64.7,66.7,62.7,,280.0,0.864,,0.191,1285.8000000000002,76.4,22.8,,6334194.0,1125.91610151261,55.92839334626,22.5957941345194,1.5361944837350718,7.027240067180488,55.92839334626,22.5957941345194
2011,Lao PDR,LAO,25.450000000000003,,14.4,,0.3,78.0,69.0,68.0,67.7,68.9,66.5,,,0.863,,0.185,540.0,79.0,21.4,26.5,6426590.0,1361.54704394913,58.4713447138194,20.7912551864005,1.1757864646960159,7.217111053610419,58.4713447138194,20.7912551864005
2005,Malaysia,MYS,18.5,4.5,335.3,8400.0,0.7,95.3,68.30000000000001,6.6,73.80000000000001,76.2,71.4,21.0,28.0,2.228,0.14980000000000002,0.81,60.4,8.5,5.0,,25836071.0,5555.58179951206,93.9630919319295,8.26229170422644,2.637483199021344,8.622738413926873,93.9630919319295,8.26229170422644
2006,Malaysia,MYS,18.1,4.5,372.4,,0.6799999999999999,96.4,65.4,6.1,73.9,76.3,71.5,19.7,27.5,2.378,0.16040000000000001,0.8476666666666667,62.1,7.9,5.0,12.9,26417909.0,6158.40785533236,94.1271404616595,8.60998284136304,2.7144627929264016,8.725735924525923,94.1271404616595,8.60998284136304
2007,Malaysia,MYS,17.6,4.4,448.6,,0.6599999999999999,96.0,87.5,6.3,73.9,76.3,71.5,20.1,29.0,2.528,0.171,0.8853333333333333,62.2,7.9,5.0,,26998389.0,7168.93031942508,94.287803077426,9.98677367962245,2.8687965799531017,8.877651215195687,94.287803077426,9.98677367962245
2008,Malaysia,MYS,20.4,4.5,520.1,,0.64,96.0,94.3,6.2,74.0,76.4,71.6,26.8,27.3,2.678,0.24533333333333335,0.923,63.5,8.0,5.0,,27570059.0,8371.82156086005,94.4451244256703,9.96858233467411,2.9889426584663346,9.032746210722125,94.4451244256703,9.96858233467411
2009,Malaysia,MYS,20.0,4.5,782.8,,0.62,95.0,96.9,6.9,74.05,76.5,71.6,,27.0,2.943,0.31966666666666665,1.048,64.9,8.5,5.0,,28124778.0,7191.43287234626,94.5991098396151,9.21910004390782,3.361524330495737,8.880784762375026,94.5991098396151,9.21910004390782
2010,Malaysia,MYS,20.3,4.7,1199.9,8500.0,0.6,94.0,96.1,6.8,74.5,77.1,71.9,25.1,26.1,3.208,0.394,1.173,68.4,8.5,5.0,,28655776.0,8899.34505544675,94.7498776690501,10.0899159275121,3.758239564214293,9.0938453252436,94.7498776690501,10.0899159275121
2011,Malaysia,MYS,17.1,4.6,717.3,,0.5666666666666667,99.0,95.2,6.6,74.6,77.1,72.1,23.5,26.2,3.397,0.434,1.281,101.0,,5.0,,29162039.0,10217.1068585031,94.8950271076726,11.4533531198278,3.2424769344603184,9.23191660770483,94.8950271076726,11.4533531198278
2012,Malaysia,MYS,17.2,4.7,666.0,,0.5333333333333333,99.0,95.5,6.6,74.75,77.2,72.3,,25.6,,,,101.0,9.0,5.0,,29662831.0,10600.5744240026,95.0372152977718,9.79375074645921,3.154970324167675,9.26875779963687,95.0372152977718,9.79375074645921
2013,Malaysia,MYS,,4.7,581.1,,0.5,97.0,95.3,,75.05000000000001,77.4,72.7,,29.0,,,,,,5.0,,30174265.0,10713.6407638899,95.1769234434239,9.11336384538206,3.008556328567919,9.279366380877141,95.1769234434239,9.11336384538206
2004,Myanmar,MMR,23.2,11.2,13.7,,0.88,82.0,78.0,81.0,63.8,65.5,62.1,14.0,,,0.003,0.359,,,39.9,,47068772.0,224.508811413327,65.6650229848345,48.1650901865787,0.25546627233512215,5.418359233182993,65.6650229848345,48.1650901865787
2005,Myanmar,MMR,19.5,9.5,7.8,16000.0,0.9,73.0,72.0,46.5,64.05,65.8,62.3,10.8,250.0,0.731,,0.372,647.0,70.8,36.9,,47438365.0,252.685193060728,66.2119516928638,46.687240402588,0.1522264404770462,5.536094100931666,66.2119516928638,46.687240402588
2006,Myanmar,MMR,17.3,9.4,8.8,,0.9,82.0,78.0,46.3,64.55000000000001,66.4,62.7,10.5,,0.77,,0.407,619.3333333333334,66.2,33.7,,47785135.0,303.495087119254,66.756940787588,43.918958474559,0.16903171033785697,5.71865495276447,66.756940787588,43.918958474559
2007,Myanmar,MMR,18.2,9.7,8.1,,0.9,86.0,81.0,46.5,65.85,68.1,63.6,9.0,,0.791,,0.43,591.6666666666666,64.3,30.1,,48125043.0,419.375780725042,67.3001769970488,43.3227660063537,0.15555957651539293,6.041149027269633,67.3001769970488,43.3227660063537
2008,Myanmar,MMR,20.5,9.8,8.9,,0.9,85.0,82.0,29.5,66.25,68.3,64.2,11.7,,0.812,,0.465,564.0,40.7,26.4,,48390793.0,658.442487229705,67.8416392315072,40.2750956375485,0.16883036182755026,6.491394761727971,67.8416392315072,40.2750956375485
2009,Myanmar,MMR,20.3,9.6,15.1,,0.9,90.0,87.0,27.2,66.45,68.4,64.5,10.0,,0.843,,0.478,544.0,36.5,23.0,22.6,48660459.0,758.442935789255,68.3369194463673,38.1081206105058,0.27026646321691167,6.632585185295102,68.3369194463673,38.1081206105058
2010,Myanmar,MMR,17.3,8.6,27.8,16000.0,0.9,90.0,88.0,27.1,66.6,68.6,64.6,11.7,233.0,0.874,,0.511,525.0,34.9,20.2,,49024382.0,1010.53417343401,68.829818100566,36.853075751266,0.4492042975381707,6.919223440944676,68.829818100566,36.853075751266
